eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
VisualA_VisualB,-194.03612325480208,0.04516823733207487,-0.025098908876022372,-348.1161551470346,-0.21231543233418265,-0.14212563104163425
VisualA_SensorimotorA,-204.13587133619876,0.010324298872078086,-0.20775819783444438,-368.31565130982796,-0.11605907053097421,-0.386835863598396
VisualA_SensorimotorB,-2402.832096315542,0.019111371870352167,-0.30033336799514937,-4765.708101268515,-0.3786923522595579,0.4517442029085913
VisualA_DorsalAttnA,-1705.1669376728569,-0.0008556170109519368,0.06198918905653983,-3370.377783983144,-0.5913935662812815,1.8190140190140294
VisualA_DorsalAttnB,-2315.7281860805997,-0.050611657489084916,-0.17913480315039776,-4591.50028079863,-0.360582074010461,-0.18261118222588846
VisualA_VentralAttnA,-4191.173758864097,-0.07244811298625686,-0.3011468452947613,-8342.391426365624,-0.4268508586819108,0.7191215497123233
VisualA_VentralAttnB,-4340.095898284417,-0.16149390936795305,-0.09652708282714377,-8640.235705206263,0.05882465032466726,0.2887197669408569
VisualA_LimbicA,-4337.713866453776,0.04457266041798447,-0.15758286244963896,-8635.471641544982,-0.8591107185782817,1.8621876085780655
VisualA_LimbicB,-4573.767413511934,0.03320184305350815,-0.0790080311511212,-9107.578735661298,0.22107016389388984,0.22828511670133841
VisualA_ControlA,-3207.3782213938393,0.06256145604637575,-0.09035564606226594,-6374.8003514251095,0.2184707452923385,-0.05869897534109941
VisualA_ControlB,-4335.585368496533,-0.02915773522402265,-0.011869640875446431,-8631.214645630496,-0.28591270889375103,0.26663575591029
VisualA_ControlC,-4149.714387433247,-0.0425534942875605,-0.08167851384843854,-8259.472683503924,0.1630291785174891,0.4230731293962098
VisualA_DefaultA,-2136.971721322223,0.05990641332342039,-0.25910666389687736,-4233.987351281877,-0.30589260931964396,0.0031674284901701552
VisualA_DefaultB,-2361.8162609720966,0.09434759085566757,-0.03384670795402843,-4683.676430581624,-0.2338919610698091,0.07196984623925562
VisualA_DefaultC,-3074.698295451826,0.07402430081161782,-0.18117285858902046,-6109.440499541083,-0.19295496213512237,-0.07126868262119122
VisualA_TemporalParietal,-3957.3274038538184,0.010907269156549826,-0.26118310204928646,-7874.698716345068,-0.13292904389788524,0.05741771811422104
VisualB_SensorimotorA,-405.37779980398204,0.13927147162121822,-0.22151839688743907,-770.7995082453945,-0.29786979806967234,-0.2889989142970795
VisualB_SensorimotorB,-2226.467513868396,0.17926267898155035,-0.28999685421795485,-4412.978936374223,-0.5089917248208051,0.49701925972614314
VisualB_DorsalAttnA,-2686.7239657924365,0.16040169965540274,-0.0641525726613558,-5333.491840222304,-0.03036230332348592,-0.30825666264244694
VisualB_DorsalAttnB,-3531.0708079584965,0.09408999810409135,-0.14016947494489654,-7022.185524554424,-0.0719587758907978,-0.4146955356025868
VisualB_VentralAttnA,-3998.8675198979563,0.06084499245755637,-0.21765980702179605,-7957.778948433343,-0.29704980759458044,0.13382747898726136
VisualB_VentralAttnB,-4097.59742417075,-0.05441166750646986,-0.14992418007047958,-8155.238940587294,-0.06440593472657914,0.5366468299740472
VisualB_LimbicA,-5116.498542812027,0.007081403224552307,-0.14211094750873343,-10193.040994261484,-0.4914726083080437,0.6348490415674742
VisualB_LimbicB,-5095.24920681202,0.02365117159815322,0.04798980231042901,-10150.542505869835,0.1264121211297808,0.529524964924896
VisualB_ControlA,-3691.4117138779184,0.07178184297763035,-0.13185534459633347,-7342.867336393268,-0.33153688212369664,1.0001618532249712
VisualB_ControlB,-4904.728003454458,0.06717338453862287,-0.04770135335891382,-9769.500099154711,-0.1993553839765246,-0.11825353699232151
VisualB_ControlC,-4609.959852480334,0.0029409840296621415,-0.08596233468598123,-9179.963797206463,0.0639045035594074,0.07284444502714477
VisualB_DefaultA,-1717.1691308982295,0.20217107382473998,-0.22439078280309996,-3394.3821704338893,-0.24859526635721618,-0.05263038632585043
VisualB_DefaultB,-2640.337006223406,0.07519997158815361,-0.15255392867143602,-5240.717921084243,0.13926551984222837,-0.3322713254981045
VisualB_DefaultC,-2798.721414704618,0.10761147281963668,-0.19047404916766278,-5557.486738046667,-0.2875123964949066,0.44552338027429994
VisualB_TemporalParietal,-3466.010257423713,0.08102069085500452,-0.23847478052209622,-6892.06460709322,-0.19449594008089652,0.5374181628928775
SensorimotorA_SensorimotorB,-1886.334573415259,0.009854846497206693,-0.08861841309959242,-3732.7130554679484,-0.18363747832139385,-0.2641240074427599
SensorimotorA_DorsalAttnA,-1531.622476968907,0.07525103673665323,-0.182331219747291,-3023.2888625752444,0.1005289711564366,-0.61450800600419
